recipeName,Insumos,Cant,Cant (gr),Costo(gr),Costo,Notas
carrot cake,Harina integral ,3 taza,450,"0,35","157,50",
carrot cake,Harina 000,2 tazas ,300,"0,24","72,00",
carrot cake,Azucar Blanca ,2 taza,360,"0,52","187,20",
carrot cake,Azucar mascabo,2 taza,400,"0,87","348,00",
carrot cake,Aceite,"1 y 1/"" taza ",270,"1,00","270,00",
carrot cake,Zanahoria ,4 tazas,600,"2,73","1638,00",
carrot cake,Naranja ,2,450,"0,59","265,50",c/u 225
carrot cake,Manzana ,2 u,500,"0,85","425,00",
carrot cake,Aceite,,10,"1,00","10,00",
carrot cake,Bicarbonato,2 cdita ,10,"1,00","10,04",
carrot cake,Polvo de hornear,3cditas,15,"1,68","25,25",75
carrot cake,Vainilla. , cda. ,10,"0,59","5,85",
carrot cake,Nueces ,,200,"2,67","534,80",
carrot cake,Huevos ,,8,"46,33","370,67",
carrot cake,etiquetas adesivas 5.5,1,1,"29,64","29,64",
carrot cake,Bolsas b chico (15x35),1,1,"2,50","2,50",
carrot cake,Molde budin 500 grs.,1,1,"60,00","60,00",
Budin de Peras y Chocolate,Harina integral ,1T 1/2,225,"0,35","78,75",
Budin de Peras y Chocolate,Harina 000,1T,150,"0,24","36,00",
Budin de Peras y Chocolate,Azucar Blanca ,1 T,180,"0,52","93,60",
Budin de Peras y Chocolate,Azucar mascabo,1 T,200,"0,87","174,00",
Budin de Peras y Chocolate,Cacao amargo ,6 CDAS,60,"2,69","161,58",
Budin de Peras y Chocolate,Aceite,1/2 T,90,"1,00","90,00",
Budin de Peras y Chocolate,Pera ,1 EN CUBITOS,100,"0,40","40,00",
Budin de Peras y Chocolate,Pera ,2,200,"0,40","80,00",
Budin de Peras y Chocolate,Huevos ,,4,"46,33","185,33",
Budin de Peras y Chocolate,Bicarbonato,1CDITA,5,"1,00","5,02",
Budin de Peras y Chocolate,Polvo de hornear,2CDTA,10,"1,68","16,83",
Budin de Peras y Chocolate,Vainilla. ,,10,"0,59","5,85",
Budin de Peras y Chocolate,Chocolate,,120,"2,42","289,92",
Budin de Peras y Chocolate,Mix semillas ,,20,"0,69","13,74",
Budin de Peras y Chocolate,etiquetas adesivas 5.5,1,1,"29,64","29,64",
Budin de Peras y Chocolate,Bolsas b chico (15x35),1,1,"2,50","2,50",
Budin de Peras y Chocolate,Molde budin 300 grs ,1,1,"40,00","40,00",
BANANA CON ALMENDRAS,Harina integral ,1 Y 1/2,225,"0,35","78,75",
BANANA CON ALMENDRAS,Harina 000,1T,150,"0,24","36,00",
BANANA CON ALMENDRAS,Azucar Blanca ,1 T,180,"0,52","93,60",
BANANA CON ALMENDRAS,Azucar mascabo,1 T,200,"0,87","174,00",
BANANA CON ALMENDRAS,Aceite,1/2 T,180,"1,00","180,00",
BANANA CON ALMENDRAS,Banana ,4UNIDADES,400,"0,60","240,00",
BANANA CON ALMENDRAS,Huevos ,,4,"46,33","185,33",
BANANA CON ALMENDRAS,Bicarbonato,1CDITA,5,"1,00","5,02",
BANANA CON ALMENDRAS,Polvo de hornear,2CDTA,10,"1,68","16,83",
BANANA CON ALMENDRAS,Vainilla. ,,10,"0,59","5,85",
BANANA CON ALMENDRAS,Almendras ,,140,"5,24","732,90",
BANANA CON ALMENDRAS,Mix semillas ,,30,"0,69","20,61",
BANANA CON ALMENDRAS,etiquetas adesivas 5.5,1,1,"29,64","29,64",
BANANA CON ALMENDRAS,Bolsas b chico (15x35),1,1,"2,50","2,50",
BANANA CON ALMENDRAS,Molde budin 300 grs ,1,1,"40,00","40,00",
AVENA Y ARANDANOS,Harina integral ,,210,"0,35","73,50",
AVENA Y ARANDANOS,Azucar Blanca ,1/2 T,90,"0,52","46,80",
AVENA Y ARANDANOS,Azucar mascabo,1/2 T,90,"0,87","78,30",
AVENA Y ARANDANOS,Aceite,1/2 T,180,"1,00","180,00",
AVENA Y ARANDANOS,Avena,,150,"1,12","167,50",
AVENA Y ARANDANOS,Leche ,,250,"0,25","62,50",c/u 225
AVENA Y ARANDANOS,Arandanos congelados,,100,"2,64","264,00",
AVENA Y ARANDANOS,Chocolate,,80,"2,42","193,28",
AVENA Y ARANDANOS,Bicarbonato,1 cdita ,5,"1,00","5,02",
AVENA Y ARANDANOS,Polvo de hornear,2cditas,10,"1,68","16,83",
AVENA Y ARANDANOS,Vainilla. , cda. ,10,"0,59","5,85",
AVENA Y ARANDANOS,Huevos ,,2,"46,33","92,67",
AVENA Y ARANDANOS,etiquetas adesivas 5.5,1,1,"29,64","29,64",
AVENA Y ARANDANOS,Bolsas b chico (15x35),1,1,"2,50","2,50",
AVENA Y ARANDANOS,Molde budin 300 grs ,1,1,"40,00","40,00",
